TID	CS
101343	7
101345	5
101346	3
101347	12
101348	435
101349	367
101351	74
101352	12
101353	12
101354	38
101355	4
101357	15
101358	6
101359	122
101360	107
101361	159
101364	19
101365	36
101366	4
101367	7
101368	43
101370	13
101372	10
101373	22
101374	3
101375	3
101378	5
101380	16
101384	5
101385	23
101386	123
101387	13
101390	11
101392	29
101396	4
101397	11
101398	111
101399	109
101400	154
101401	3
101402	53
101403	2
101404	124
101405	122
101406	10
101407	249
101408	346
101409	3
101410	131
101411	108
101412	104
101414	97
101415	9
101416	7
101417	9
101418	37
101420	14
101421	13
101425	2
101428	3
101429	13
101430	33
101431	70
101432	1
101433	113
101434	109
101435	66
101436	3
101437	15
101439	28
101440	447
101442	12
101444	19
101445	22
101446	8
101448	112
101449	7
101450	8
101451	4
101454	24
101456	16
101457	16
101458	10
101459	9
101460	111
101462	27
101463	18
101464	489
101465	111
101466	2
101467	14
101470	24
101471	6
101472	3
101473	112
101474	120
101476	130
101477	8
101478	12
101479	12
101480	14
101481	4
101483	10
101484	313
101487	15
101488	38
101490	42
101493	3
101494	31
101495	111
101496	111
101497	69
101498	1
101499	18
101500	2
101502	110
101503	111
101504	129
101505	22
101506	115
101508	329
101509	40
101510	40
101512	12
101513	2
101516	5
101517	1
101519	13
101520	11
101521	12
101522	4
101525	11
101526	7
101528	15
101529	2
101530	3
101532	28
101533	13
101538	112
101540	14
101541	21
101542	201
101543	13
101544	5
101546	31
101547	14
101548	33
101549	3
101550	11
101552	107
101553	112
101554	10
101555	3
101557	378
101558	4
101560	3
101561	29
101562	2
101563	76
101564	1
101566	1
101567	151
101568	13
101570	3
101571	1
101572	2
101574	10
101575	10
101578	1
101581	2
101582	13
101583	4
101584	108
101585	23
101586	7
101587	6
101588	11
101589	41
101590	9
101591	10
101592	27
101593	4
101594	6
101596	6
101598	307
101600	75
101601	14
101602	111
101603	3
101604	28
101605	10
101606	10
101607	113
101608	51
101609	10
101610	133
101612	121
101613	123
101615	3
101616	7
101618	1
101619	4
101621	12
101623	10
101624	342
102386	10
102387	11
102388	3
102389	10
102391	304
102392	3
102393	11
102394	23
102397	5
102399	89
102400	3
102401	14
102402	1
102403	30
102405	9
102406	20
102407	5
102408	20
102409	279
102412	25
102414	110
102415	5
102416	16
102417	3
102418	12
102419	1
102420	277
102421	109
102422	21
102423	32
102430	5
102431	3
102435	3
102436	21
102437	14
102438	11
102439	21
102440	89
102443	50
102444	7
102445	6
102446	1
102447	9
102448	53
102449	3
102450	1
102451	325
102452	20
102453	7
102454	7
102457	85
102461	74
102463	2
102464	3
102465	108
102466	4
102467	7
102468	5
102469	5
102470	2
102471	11
102473	108
102474	15
102542	3
102546	4
102547	4
102550	3
102551	31
102552	15
102555	7
102558	12
102560	2
102561	2
102562	2
102564	30
102566	2
102567	9
102570	4
102574	1
102575	7
102576	7
102578	10
102580	10
102582	7
102583	17
102585	8
102590	22
102591	2
102594	1
102596	3
102599	16
102603	5
102604	20
102605	3
102615	1
102616	4
102617	5
102619	8
102621	2
102631	31
102633	4
102637	3
102638	19
102639	9
102642	6
102645	7
102646	6
102658	3
102660	5
102664	10
102665	4
102666	4
102667	125
102669	146
102671	8
102672	43
102676	110
102678	110
102680	11
102684	8
102688	54
102689	36
102690	4
102694	2
102696	6
102698	40
102711	108
102718	19
102719	6
102723	3
102728	6
102732	1
102733	15
102734	14
102741	3
102744	19
102747	27
102748	29
102753	14
102757	15
102762	2
102767	17
102770	107
102774	106
102778	2
102780	10
102782	4
102783	39
102785	1
102791	2
102792	13
102793	8
102796	7
102798	4
102799	110
102802	12
102805	25
102806	4
102807	17
102808	38
102809	5
102811	2
102812	5
102814	5
102815	12
102817	6
102819	5
102822	3
102826	8
102829	6
102830	31
102831	6
102832	12
102833	6
102835	27
102837	6
102840	21
102843	10
102845	31
102846	8
102849	13
102850	2
102851	4
102854	14
102855	7
102858	16
102859	3
102860	27
102862	2
102864	12
102865	2
102868	4
102873	1
102874	9
102875	11
102876	24
102878	17
102882	3
102883	6
102885	3
102886	3
102888	5
102890	5
102891	4
102894	2
102895	4
102896	4
102898	6
102899	4
102901	7
102903	9
102904	9
102905	9
102908	5
102909	3
102910	30
102913	8
102916	7
102917	3
102921	5
102925	6
102926	9
102927	64
102932	12
102935	4
102936	3
102937	11
102940	7
102941	4
102942	2
102949	6
102950	2
102951	15
102953	5
102955	8
102957	9
102958	14
102960	6
102962	13
102963	4
102964	2
102965	162
102971	14
102972	14
102973	4
102974	23
102975	16
102978	3
102979	24
102981	7
102983	3
102984	2
102985	2
102986	40
102987	2
102988	25
102989	17
102990	9
102992	11
102994	9
102996	2
103036	3
103037	23
103038	4
103042	312
103044	6
103048	7
103053	1
103055	16
103056	10
103058	6
103059	4
103060	6
103061	6
103062	108
103063	17
103064	7
103068	2
103069	43
103071	69
103075	3
103079	84
103081	19
103088	13
103089	3
103090	5
103091	4
103095	107
103096	7
103098	6
103101	9
103102	17
103103	2
103104	40
103105	4
103106	371
103108	23
103111	13
103112	1
103114	8
103116	5
103118	5
103120	2
103121	3
103123	3
103125	1
103133	16
103134	32
103135	4
103136	6
103137	9
103138	11
103140	107
103142	7
103145	5
103147	30
103148	4
103150	15
103151	1
103152	16
103154	343
103155	2
103158	18
103160	6
103163	31
103164	2
103165	43
103167	23
103168	8
103169	9
103170	334
103430	108
103431	9
103432	2
103433	107
103435	107
103436	3
103437	107
103438	2
103440	13
103441	109
103444	3
103445	27
103446	107
103448	15
103449	110
103450	5
103451	30
103452	109
103453	107
103454	40
103455	109
103456	107
103457	107
103458	106
103459	5
103462	10
103463	4
103464	16
103465	2
103466	5
103467	35
103469	15
103470	1
103474	12
103479	2
103481	6
103483	3
103496	2
103497	2
103498	3
103499	3
103501	20
103507	5
103508	51
103511	11
103512	4
103514	14
103515	4
103517	10
103518	6
103521	7
103522	4
103530	18
103531	22
103532	10
103533	14
103534	14
103535	12
103537	16
103541	8
103546	8
103550	28
103553	5
103555	13
103556	7
103558	13
103560	54
103561	26
103562	4
103566	13
103571	8
103572	5
103573	8
103575	26
103576	34
103578	6
103579	31
103580	15
103581	9
103584	13
103585	7
103587	2
103588	35
103590	5
103591	19
103592	4
103593	47
103602	14
103603	15
103605	5
103607	25
103608	10
103609	2
103610	2
103612	2
103619	21
103620	7
103621	7
103622	43
103623	5
103624	20
103625	13
103626	16
103627	15
103628	7
103629	15
103630	67
103634	1
103637	3
103638	39
103640	8
103641	29
103642	5
103644	10
103645	9
103647	6
103649	6
103651	14
103652	4
103653	9
103655	150
103657	23
103659	24
103661	990
103662	224
103672	246
103673	77
103676	166
103677	155
103678	166
103679	348
103682	106
103684	538
103688	21
103690	8
103691	54
103692	134
103693	137
103696	146
103697	460
103698	93
103699	248
103700	172
103702	103
103704	41
103705	4
103707	137
103713	9
103714	113
103715	87
103716	33
103717	4
103719	657
103720	288
103721	6
103722	33
103723	7
103725	17
103726	141
101001	4
101137	8
101248	3
101290	3
101356	11
101379	3
101391	6
101395	46
101423	5
101518	1
101569	2
102395	2
102544	1
102607	1
102620	3
102682	3
102683	3
102687	3
102699	4
102788	49
102818	2
102824	2
102841	5
102847	5
102915	2
102952	3
103035	5
103109	3
103119	3
103130	3
103139	3
103153	7
103442	15
103475	2
103476	1
103477	1
103486	1
103491	3
103519	5
103527	4
103536	3
103633	3
103728	3
103729	66
103730	65
103732	4
103733	12
103734	19
103735	87
103736	150
103737	422
103738	104
103740	81
103741	31
103744	168
103745	333
103746	336
103747	54
103748	3
103752	488
103753	16
103767	22
103768	204
103769	3
103770	11
103773	205
103774	9
103780	10
103786	1
103787	3
103788	8
103789	106
103794	10
103796	4
103798	1
103799	2
103800	48
103819	11
103820	11
103821	16
103822	2
103823	2
103824	2
103825	5
103826	4
103828	4
103829	49
103830	38
103832	11
103834	4
103836	6
103837	11
103838	8
103839	7
103842	5
103844	7
103845	6
103846	3
103847	10
103848	7
103850	21
103851	21
103854	1
103855	108
103856	4
103857	41
103858	3
103859	3
103860	10
103861	7
103862	5
103866	4
103867	11
103868	11
103869	11
103870	15
103871	2
103872	2
103875	2
103876	2
103877	2
103878	2
103881	13
103885	10
103886	7
103887	13
103888	13
103890	11
103891	10
103892	12
103893	12
103894	1
103895	5
103896	16
103897	10
103900	24
103903	1
103906	7
103907	2
103908	2
103909	1
103910	6
103911	1
103913	23
103914	41
103916	11
103917	11
103923	1
103924	2
103925	13
103930	3
103931	5
103932	3
103933	3
103935	3
103937	6
103940	8
103945	16
103946	5
103947	47
103950	17
103951	18
103952	2
103954	8
103955	11
103958	67
103960	51
103966	18
103967	613
103968	86
103969	46
103970	6
103971	11
103972	505
103974	20
103975	363
103976	380
103979	23
103982	126
103990	499
103996	239
103997	54
104003	397
104004	70
104008	325
104009	367
104010	50
104011	367
104012	4
104013	420
104017	250
104020	3
104023	1
104062	39
104063	69
104064	22
104065	21
104066	32
104067	66
104068	44
104069	28
104071	3
104084	9
104085	5
104086	10
104087	16
104088	11
104092	2
104093	1
104094	1
104097	10
104099	1
104103	27
104104	3
104105	5
104106	26
104108	8
104109	10
104113	5
104119	4
104122	2
104124	32
104125	10
104126	109
104129	3
104131	10
104133	3
104134	3
104135	5
104136	1
104137	1
104138	25
104139	17
104140	12
104141	2
104143	27
104144	6
104145	8
104146	5
104148	28
104149	6
104150	25
104151	43
104152	30
104153	17
104154	31
104156	3
104157	10
104158	2
104159	2
104160	6
104170	7
104173	7
104175	320
104176	289
104177	2
104178	323
104180	480
104181	70
104183	11
104192	6
104196	9
104197	24
104198	14
104199	3
104200	5
104202	5
104205	10
104206	36
104207	21
104208	2
104215	20
104216	13
104218	13
104219	9
104220	3
104223	13
104224	10
104226	3
104227	3
104230	9
104232	3
104233	8
104235	6
104236	1
104241	6
104242	6
104243	6
104244	2
104245	107
104246	10
104247	12
104248	16
104249	6
104250	12
104251	17
104252	3
104253	3
104256	5
104257	11
104258	11
104260	37
104261	15
104262	9
104263	6
104265	2
104266	29
104268	5
104269	3
104270	22
104272	106
104275	11
104279	2
104280	7
104281	63
104282	68
104283	273
104284	41
104285	43
104286	48
104287	87
104288	166
104289	64
104290	378
104291	5
104292	331
104293	277
104294	283
104295	230
104296	127
104297	61
104298	44
104299	109
104300	35
104301	725
104302	735
104303	337
104304	791
104305	95
104312	106
104313	106
104314	106
104315	106
104316	110
104317	106
104318	106
104319	106
104320	106
104321	3
104322	40
104326	4
104327	2
104329	90
104330	14
104331	2
104332	2
104333	2
104335	7
104356	1
104358	5
104359	10
104367	3
104368	18
104370	3
104372	3
104377	4
104378	30
104379	2
104380	31
104382	21
104383	6
104384	2
104385	7
104390	5
104392	11
104393	3
104397	8
104399	23
104401	1
104402	14
104403	2
104404	2
104407	4
104408	4
104409	3
104414	4
104416	2
104419	3
104421	11
104422	12
104423	11
104425	4
104429	1
104430	24
104436	5
104437	2
104438	7
104439	4
104440	4
104447	15
104448	16
104449	24
104451	4
104453	4
104457	6
104462	9
104463	1
104465	5
104466	18
104468	17
104469	3
104474	5
104480	68
104483	11
104486	120
104487	293
104491	4
104492	12
104493	2
104494	2
104495	2
104496	2
104499	12
104501	4
104503	16
104504	25
104505	3
104506	3
104509	8
104512	11
104513	3
104516	1
104517	7
104521	3
104522	5
104524	2
104525	5
104526	3
104527	2
104528	2
104530	13
104532	21
104533	8
104534	8
104535	8
104536	8
104537	8
104538	8
104539	8
104540	8
104541	7
104542	8
104543	6
104544	5
104545	18
104547	11
104551	3
104555	3
104558	8
104559	16
104560	21
104561	5
104564	2
104565	14
104566	9
104568	8
104569	1
104570	14
104573	37
104577	8
104578	2
104580	11
104581	11
104582	20
104589	1
104592	7
104594	5
104595	8
104596	2
104597	5
104598	32
104599	8
104600	9
104602	2
104603	6
104604	8
104605	10
104606	2
104607	16
104608	1
104609	1
104610	15
104611	46
104612	16
104613	7
104614	31
104615	18
104616	2
104617	57
104618	22
104619	1
104620	4
104621	17
104622	1
104623	10
104625	1
104626	1
104627	1
104628	2
104629	5
104631	8
104632	9
104633	20
104634	2
104635	1
104636	4
104637	5
104639	5
104640	2
104643	5
104644	4
104645	2
104648	15
104649	3
104650	12
104653	2
104654	1
104656	1
104657	1
104658	4
104659	8
104660	4
104663	2
104666	3
104668	3
104669	22
104670	1
104671	3
104672	9
104673	7
104674	5
104678	93
104679	332
104680	565
104681	113
104682	155
104683	204
104684	183
104685	436
104686	382
104687	335
104688	155
104689	67
104690	437
104691	152
104692	84
104693	44
104694	110
104695	5
104696	19
104697	131
104698	294
104699	233
104700	60
104701	164
104702	194
104703	184
104704	189
104705	44
104706	163
104707	321
104708	202
104709	195
104710	284
104711	130
104712	178
104713	5
104714	134
104715	29
104716	140
104717	71
104720	225
104721	25
104722	215
103749	3
103791	5
103792	3
103827	2
103843	3
103915	3
103920	5
103936	4
103948	2
103949	8
104127	6
104211	3
104228	28
104229	1
104231	2
104254	3
104336	2
104357	1
104369	3
104371	4
104435	1
104460	3
104574	1
104575	1
104638	2
104641	3
104651	5
104661	2
104667	3
104723	213
104725	40
104726	94
104727	100
104728	172
104729	69
104730	330
104731	84
104732	110
104733	81
104734	280
104735	158
104736	11
104737	138
104738	34
104739	52
104741	10
104742	113
104743	116
104744	138
104745	58
104746	377
104747	378
104748	378
104749	167
104750	223
104751	86
104752	37
104756	48
104757	59
104758	66
104759	241
104761	71
104762	99
104763	16
104764	10
104765	70
104766	123
104768	115
104769	49
104770	67
104771	7
104772	155
104773	124
104774	60
104775	78
104776	29
104777	67
104778	49
104780	24
104781	108
104782	58
104783	9
104784	96
104786	250
104787	24
104788	156
104789	30
104791	19
104792	35
104793	65
104795	3
104797	97
104798	119
104799	60
104800	70
104801	44
104802	4
104803	57
104804	45
104806	4
104807	10
104808	39
104809	18
104810	21
104811	89
104812	26
104813	8
104815	41
104816	119
104818	19
104819	102
104820	34
104821	62
104822	55
104823	1
104824	37
104825	56
104826	63
104828	70
104829	30
104830	127
104832	18
104833	13
104835	45
104837	86
104839	24
104841	6
104842	29
104844	34
104846	21
104847	3
104848	49
104849	47
104850	39
104851	7
104852	32
104853	28
104855	29
104856	171
104857	53
104858	32
104859	32
104860	75
104861	15
104863	48
104864	16
104865	56
104866	50
104867	57
104869	26
104870	3
104871	7
104872	21
104873	12
104874	28
104875	69
104877	68
104878	18
104879	20
104880	3
104881	256
104888	2
104890	38
104891	18
104893	3
104894	13
104895	33
104897	7
104899	11
104902	29
104903	13
104908	3
104909	3
104910	3
104911	48
104912	35
104913	12
104918	17
104921	20
104922	48
104923	9
104924	51
104925	3
104926	2
104929	8
104930	40
104933	13
104936	22
104938	7
104940	42
104941	8
104942	38
104943	21
104944	7
104950	18
104951	23
104952	37
104953	8
104960	13
104961	3
104963	12
104965	25
104971	10
104973	5
104974	22
104975	24
104977	9
104978	21
104979	14
104980	26
104981	31
104985	10
104987	6
104988	29
104990	16
104991	5
104994	10
104999	14
105000	24
105001	57
105004	15
105007	30
105008	21
105015	35
105018	6
105019	2
105021	18
105023	15
105024	5
105025	21
105028	16
105029	44
105030	35
105033	5
105034	5
105037	15
105038	13
105041	12
105042	19
105043	19
105044	11
105045	3
105048	4
105051	9
105055	57
105058	31
105059	11
105061	27
105062	17
105064	18
105067	32
105072	26
105074	5
105075	11
105076	20
105077	47
105078	15
105079	21
105083	65
105085	10
105086	15
105087	5
105088	19
105089	13
105090	2
105093	1
105094	6
105097	11
105102	14
105103	26
105104	37
105106	48
105107	36
105111	16
105112	19
105113	3
105114	33
105116	10
105117	30
105120	21
105121	14
105123	13
105124	224
105126	615
105128	37
105129	34
105130	10
105131	91
105132	505
105135	76
105139	82
105141	71
105169	18
105170	18
105174	6
105177	3
105178	1
105179	1
105180	1
105181	1
105183	1
105184	2
105185	4
105186	2
105188	2
105189	14
105190	6
105191	6
105192	3
105195	6
105196	8
105197	8
105204	4
105205	4
105207	1
105210	13
105211	8
105214	10
105215	10
105216	10
105217	1
105219	6
105221	3
105222	2
105223	21
105227	3
105233	9
105234	18
105235	4
105236	4
105237	20
105243	3
105244	5
105245	3
105246	5
105247	2
105345	4
105346	8
105352	1
105354	4
105412	9
105413	10
105421	9
105423	3
105424	8
105425	3
105426	13
105427	9
105434	8
105435	2
105438	2
105439	17
105440	8
105441	5
105442	4
105443	4
105444	4
105445	5
105451	3
105452	3
105468	7
105470	6
105473	2
105474	2
105477	3
105479	1
105480	2
105483	1
105488	7
105489	17
105490	18
105492	23
105495	28
105496	3
105501	3
105505	14
105506	8
105508	6
105509	14
105510	37
105564	14
105565	41
105566	5
105567	92
105568	31
105569	16
105570	12
105571	7
105572	11
105579	5
105580	5
105586	1
105588	16
105591	6
105592	3
105593	3
105595	5
105601	6
105602	4
105603	4
105604	2
105605	2
105606	2
105607	2
105610	5
105611	5
105612	3
105617	3
105625	3
105630	5
105640	6
105641	23
105642	23
105643	13
105644	16
105645	12
105649	3
105652	5
105654	11
105660	6
105661	12
105662	5
105663	1
105664	8
105666	8
105673	7
105674	2
105675	4
105676	7
105680	4
105682	4
105691	195
104916	1
104937	6
105011	7
105036	6
105171	1
105202	3
105218	2
105228	1
105229	1
105230	1
105231	1
105484	8
105487	4
105647	2
105651	4
